,model_name,fold,accuracy,vectorizer,method
7,SVC,7,0.7894896719319563,tfidf,stem
8,SVC,8,0.8028554070473876,tfidf,stem
9,SVC,9,0.7967800729040098,tfidf,stem
10,Logisitc,0,0.7880352262374735,tfidf,stem
11,Logisitc,1,0.7767992711812937,tfidf,stem
12,Logisitc,2,0.799574855754631,tfidf,stem
13,Logisitc,3,0.7804433647130277,tfidf,stem
14,Logisitc,4,0.7950197388399636,tfidf,stem
15,Logisitc,5,0.7803766707168894,tfidf,stem
16,Logisitc,6,0.7712636695018226,tfidf,stem
17,Logisitc,7,0.7752126366950183,tfidf,stem
18,Logisitc,8,0.7922235722964763,tfidf,stem
19,Logisitc,9,0.784325637910085,tfidf,stem
20,NaiveBayes,0,0.6322502277558457,tfidf,stem
21,NaiveBayes,1,0.635286972365624,tfidf,stem
22,NaiveBayes,2,0.6410567871242029,tfidf,stem
23,NaiveBayes,3,0.64986334649256,tfidf,stem
24,NaiveBayes,4,0.6404494382022472,tfidf,stem
25,NaiveBayes,5,0.6421628189550426,tfidf,stem
26,NaiveBayes,6,0.6360874848116647,tfidf,stem
27,NaiveBayes,7,0.6348724179829891,tfidf,stem
28,NaiveBayes,8,0.6433778857837181,tfidf,stem
29,NaiveBayes,9,0.6248481166464156,tfidf,stem
30,RandomForest,0,0.7321591254175523,tfidf,stem
31,RandomForest,1,0.7373215912541755,tfidf,stem
32,RandomForest,2,0.7452171272395991,tfidf,stem
33,RandomForest,3,0.7461281506225327,tfidf,stem
34,RandomForest,4,0.7488612207713331,tfidf,stem
35,RandomForest,5,0.7339003645200486,tfidf,stem
36,RandomForest,6,0.727217496962333,tfidf,stem
37,RandomForest,7,0.7375455650060754,tfidf,stem
38,RandomForest,8,0.7399756986634265,tfidf,stem
39,RandomForest,9,0.741494532199271,tfidf,stem
0,SVC,0,0.7746735499544488,count,stem
1,SVC,1,0.7704221075007592,count,stem
2,SVC,2,0.7807470391740055,count,stem
3,SVC,3,0.7655633161251139,count,stem
4,SVC,4,0.7758882477983602,count,stem
5,SVC,5,0.7612393681652491,count,stem
6,SVC,6,0.7721749696233293,count,stem
7,SVC,7,0.781591737545565,count,stem
